27,1010,30,9
41,1010,24,10
47,1011,23,11
56,1011,21,12
60,1010,21,13
68,1010,19,13
68,1009,19,13
64,1009,19,12
60,1010,19,11
60,1010,19,11
52,1011,20,10
46,1012,22,10
44,1012,23,10
39,1012,26,11
32,1011,28,10
29,1010,30,10
24,1009,31,8
22,1009,31,7
22,1009,31,7
25,1009,30,8
34,1009,27,10
41,1009,25,11
53,1010,22,12
56,1010,21,12
64,1010,19,12
60,1010,20,12
64,1009,19,12
60,1009,19,11
68,1009,17,11
68,1009,17,11
72,1009,17,12
72,1009,17,12
68,1010,17,11
72,1011,16,11
63,1011,17,10
64,1012,19,12
53,1012,22,12
60,1012,22,14
44,1011,26,13
30,1010,28,9
35,1010,28,11
33,1009,29,11
33,1009,29,11
39,1009,27,12
42,1010,26,12
60,1010,22,14
57,1011,22,13
60,1011,21,13
56,1011,21,12
64,1011,20,13
60,1011,20,12
64,1011,19,12
68,1010,19,13
64,1010,19,12
77,1010,17,13
77,1010,17,13
68,1011,18,12
77,1012,15,11
68,1013,17,11
60,1014,20,12
42,1013,26,12
37,1013,28,12
32,1012,28,10
27,1011,29,8
29,1010,29,9
25,1010,29,7
34,1010,27,10
39,1010,25,10
44,1011,23,10
46,1011,21,9
46,1011,21,9
59,1011,18,10
64,1011,18,11
68,1010,17,11
38,1013,24,9
34,1013,26,9
27,1012,29,8
23,1011,30,7
25,1010,30,8
30,1012,28,9
25,1011,29,7
27,1011,29,8
22,1010,29,5
26,1010,28,7
32,1011,25,7
36,1012,24,8
52,1012,20,10
56,1013,19,10
56,1013,19,10
56,1013,19,10
59,1013,18,10
68,1012,17,11
72,1012,16,11
72,1012,16,11
77,1012,15,11
77,1012,15,11
68,1013,17,11
59,1014,18,10
64,1015,19,12
53,1015,23,13
47,1015,25,13
37,1014,27,11
33,1013,29,11
27,1012,29,8
25,1012,30,8
23,1012,30,7
25,1012,29,7
36,1013,25,9
38,1013,24,9
46,1014,22,10
49,1014,20,9
52,1014,19,9
52,1014,19,9
49,1014,19,8
52,1014,18,8
59,1014,17,9
59,1013,17,9
59,1013,16,8
63,1013,15,8
59,1014,15,7
59,1015,16,8
49,1016,18,7
46,1016,21,9
38,1016,24,9
32,1016,27,9
23,1015,28,5
23,1014,29,6
23,1014,29,6
25,1014,28,6
26,1014,27,6
41,1014,23,9
46,1015,21,9
49,1015,21,10
49,1015,20,9
49,1015,20,9
56,1015,19,10
52,1015,19,9
59,1015,18,10
59,1014,17,9
59,1014,17,9
59,1014,16,8
59,1014,16,8
55,1014,16,7
59,1014,15,7
52,1015,16,6
49,1016,18,7
46,1016,21,9
38,1016,24,9
28,1014,27,7
28,1013,28,8
26,1013,28,7
30,1012,27,8
32,1013,25,7
43,1013,21,8
46,1014,20,8
52,1014,19,9
52,1014,19,9
56,1014,18,9
55,1014,17,8
55,1014,17,8
55,1013,17,8
63,1013,15,8
59,1013,15,7
59,1013,15,7
63,1013,14,7
63,1013,14,7
59,1014,15,7
49,1014,18,7
41,1015,22,8
36,1014,24,8
30,1013,26,7
25,1012,28,6
22,1012,29,5
20,1011,29,4
20,1011,29,4
24,1011,27,5
33,1011,23,6
40,1011,21,7
56,1012,18,9
49,1012,18,7
48,1011,17,6
55,1011,16,7
59,1011,15,7
67,1011,14,8
63,1011,14,7
63,1012,14,7
59,1012,15,7
49,1013,18,7
40,1014,19,5
34,1014,24,7
28,1014,27,7
21,1014,28,4
20,1012,29,4
17,1011,30,2
17,1011,28,1
18,1011,29,2
23,1011,28,5
34,1011,24,7
36,1012,23,7
38,1012,22,7
43,1013,20,7
40,1013,20,6
37,1013,20,5
43,1013,19,6
37,1013,20,5
49,1013,18,7
59,1013,17,9
63,1012,16,9
63,1013,16,9
55,1013,16,7
38,1014,21,6
31,1015,24,6
28,1015,26,6
23,1014,28,5
20,1014,30,5
19,1013,30,4
18,1012,31,4
19,1010,31,5
20,1011,30,5
25,1010,28,6
34,1011,25,8
38,1011,23,8
38,1011,22,7
41,1012,22,8
49,1012,21,10
49,1012,21,10
56,1012,19,10
52,1011,20,10
52,1011,20,10
68,1011,18,12
72,1011,17,12
60,1011,19,11
56,1013,21,12
44,1013,25,12
41,1013,25,11
39,1013,26,11
32,1012,28,10
23,1011,34,10
37,1011,28,12
35,1011,28,11
42,1011,27,13
47,1011,25,13
57,1012,23,14
57,1012,22,13
60,1013,21,13
60,1013,21,13
60,1013,21,13
64,1013,20,13
64,1014,19,12
64,1013,21,14
53,1013,23,13
64,1014,20,13
64,1014,20,13
60,1015,21,13
57,1018,22,13
36,1018,25,9
36,1017,26,10
32,1016,27,9
25,1016,28,6
26,1016,28,7
25,1016,28,6
26,1016,27,6
36,1016,24,8
43,1017,21,8
49,1018,19,8
52,1018,19,9
59,1018,16,8
63,1019,15,8
67,1018,14,8
67,1018,14,8
67,1019,14,8
63,1020,14,7
59,1021,15,7
41,1021,22,8
38,1021,23,8
36,1020,25,9
26,1019,26,5
29,1018,24,5
